Word,TSL Rank,SFI,U
residential,431,53.72,23.53
scholarship,432,53.58,22.8
seeker,433,53.58,22.8
temporarily,434,53.58,22.8
towel,435,53.58,22.8
unattended,436,53.58,22.8
accessible,437,53.44,22.06
afterward,438,53.44,22.06
apology,439,53.44,22.06
assemble,440,53.44,22.06
automatic,441,53.44,22.06
boardroom,442,53.44,22.06
carpenter,443,53.44,22.06
caterer,444,53.44,22.06
classify,445,53.44,22.06
consultation,446,53.58,22.8
durable,447,53.44,22.06
glove,448,53.44,22.06
hardware,449,53.44,22.06
malfunction,450,53.44,22.06
outdate,451,53.44,22.06
patience,452,53.44,22.06
postcard,453,53.44,22.06
prospective,454,53.44,22.06
revision,455,53.44,22.06
strictly,456,53.44,22.06
tomato,457,53.44,22.06
tray,458,53.44,22.06
vendor,459,53.44,22.06
withdrawal,460,53.44,22.06
anytime,461,53.29,21.33
badge,462,53.29,21.33
brake,463,53.29,21.33
calculation,464,53.29,21.33
coordinator,465,53.29,21.33
costly,466,53.29,21.33
equip,467,53.29,21.33
excursion,468,53.29,21.33
graphic,469,53.29,21.33
inexperience,470,53.44,22.06
lengthy,471,53.29,21.33
librarian,472,53.29,21.33
meantime,473,53.29,21.33
merge,474,53.29,21.33
performer,475,53.29,21.33
pharmacist,476,53.29,21.33
pizza,477,53.29,21.33
resignation,478,53.29,21.33
reviewer,479,53.29,21.33
terminate,480,53.29,21.33
translation,481,53.29,21.33
unfamiliar,482,53.29,21.33
actress,483,53.14,20.59
adjacent,484,53.14,20.59
alternate,485,53.14,20.59
congratulate,486,53.14,20.59
escort,487,53.14,20.59
inexpensive,488,53.14,20.59
mask,489,53.14,20.59
purchaser,490,53.14,20.59
purse,491,53.14,20.59
realtor,492,53.14,20.59
rearrange,493,53.14,20.59
reopen,494,53.14,20.59
soap,495,53.14,20.59
spokesperson,496,53.14,20.59
superior,497,53.14,20.59
airfare,498,52.98,19.86
bake,499,52.98,19.86
businessperson,500,52.98,19.86
considerably,501,52.98,19.86
faulty,502,53.14,20.59
hobby,503,52.98,19.86
informal,504,52.98,19.86
kilometer,505,52.98,19.86
lawn,506,52.98,19.86
microscope,507,52.98,19.86
mislead,508,52.98,19.86
misplace,509,52.98,19.86
newsstand,510,52.98,19.86
overhead,511,52.98,19.86
portfolio,512,52.98,19.86
rack,513,52.98,19.86
remodel,514,52.98,19.86
statistics,515,52.98,19.86
tunnel,516,52.98,19.86
unlimited,517,52.98,19.86
vitamin,518,52.98,19.86
zoo,519,52.98,19.86
alert,520,52.82,19.12
auditorium,521,52.82,19.12
celebrity,522,52.82,19.12
deduct,523,52.82,19.12
disruption,524,52.82,19.12
electrician,525,52.82,19.12
enthusiastic,526,52.82,19.12
graduation,527,52.82,19.12
icy,528,52.82,19.12
irregular,529,52.82,19.12
login,530,52.82,19.12
managerial,531,52.82,19.12
mineral,532,52.82,19.12
motorcycle,533,52.82,19.12
necessity,534,52.82,19.12
planner,535,52.82,19.12
programmer,536,52.82,19.12
proofread,537,52.82,19.12
recruiter,538,52.82,19.12
remainder,539,52.82,19.12
rose,540,52.82,19.12
statue,541,52.82,19.12
steadily,542,52.82,19.12
stockholder,543,52.82,19.12
vacant,544,52.82,19.12
accessory,545,52.64,18.39
assembly,546,52.64,18.39
basket,547,52.64,18.39
certification,548,52.64,18.39
closure,549,52.64,18.39
dislike,550,52.64,18.39
downstairs,551,52.64,18.39
expiration,552,52.64,18.39
headache,553,52.64,18.39
jam,554,52.64,18.39
nail,555,52.64,18.39
optimistic,556,52.64,18.39
pedestrian,557,52.64,18.39
projection,558,52.64,18.39
sleeve,559,52.64,18.39
solar,560,52.64,18.39
suburb,561,52.64,18.39
takeover,562,52.64,18.39
unsure,563,52.64,18.39
upstairs,564,52.64,18.39
verbal,565,52.64,18.39
visa,566,52.64,18.39
wildlife,567,52.64,18.39
workforce,568,52.64,18.39
absent,569,52.47,17.65
accumulate,570,52.47,17.65
appraisal,571,52.47,17.65
apprentice,572,52.47,17.65
businessman,573,52.47,17.65
ceiling,574,52.47,17.65
colorful,575,52.47,17.65
compensate,576,52.47,17.65
costume,577,52.47,17.65
editorial,578,52.47,17.65
effectiveness,579,52.47,17.65
facilitate,580,52.47,17.65
firefighter,581,52.47,17.65
gasoline,582,52.47,17.65
inappropriate,583,52.47,17.65
internet,584,52.47,17.65
landlord,585,52.47,17.65
layout,586,52.47,17.65
lunchtime,587,52.47,17.65
payroll,588,52.47,17.65
pharmaceutical,589,52.47,17.65
plausible,590,52.47,17.65
premium,591,52.47,17.65
safely,592,52.47,17.65
simplify,593,52.47,17.65
specialty,594,52.47,17.65
tech,595,52.47,17.65
unexpected,596,52.47,17.65
unspecified,597,52.47,17.65
adhere,598,52.28,16.92
bankrupt,599,52.28,16.92
caution,600,52.28,16.92
clip,601,52.28,16.92
comply,602,52.28,16.92
diner,603,52.28,16.92
duplicate,604,52.28,16.92
eager,605,52.28,16.92
economist,606,52.28,16.92
embassy,607,52.28,16.92
fasten,608,52.28,16.92
harmful,609,52.28,16.92
informative,610,52.28,16.92
institute,611,52.28,16.92
kit,612,52.28,16.92
locally,613,52.28,16.92
mentor,614,52.28,16.92
nominate,615,52.28,16.92
opt,616,52.28,16.92
parade,617,52.28,16.92
physician,618,52.28,16.92
polish,619,52.28,16.92
postage,620,52.28,16.92
recreational,621,52.28,16.92
rehearse,622,52.28,16.92
removal,623,52.28,16.92
satisfactory,624,52.28,16.92
seasonal,625,52.47,17.65
